,frame,distance,class,confidence,x1,y1,x2,y2
0,0,22.46801693866054,car,0.7949398756027222,492,183,548,230
1,0,20.000831469645867,car,0.6993989944458008,477,185,542,237
2,0,17.595457773736072,car,0.8297705054283142,455,186,532,245
3,0,15.099902225890679,car,0.8787328004837036,428,187,519,256
4,0,12.211969323283945,car,0.910228967666626,389,189,504,274
5,0,9.48585717885463,car,0.9164472222328186,328,193,482,303
6,0,6.751701272745574,car,0.9355231523513794,218,198,448,353
7,0,6.436229428990442,car,0.9512053728103638,0,210,389,373
8,0,7.692036598631,car,0.9196240305900574,0,237,260,372
